ID,code,workUnit_TH,workUnit_EN
176,621000,ททท. สำนักงานลำปาง,TAT Lampang Office
177,621100,ททท. สำนักงานนครสวรรค์,TAT Nakhon Sawan Office
178,621200,ททท. สำนักงานน่าน,TAT Nan Office
179,630000,ภูมิภาคภาคกลาง,Central Region
180,630100,กองตลาดภาคกลาง,Central Region Market Division
181,630101,งานภาคกลาง 1,Central Region 1 Section
182,630102,งานภาคกลาง 2,Central Region 2 Section
183,630103,งานภาคกลาง 3,Central Region 3 Section
184,630200,ททท. สำนักงานกาญจนบุรี,TAT Kanchanaburi Office
185,630300,ททท. สำนักงานเพชรบุรี,TAT Phetchaburi Office
186,630400,ททท. สำนักงานพระนครศรีอยุธยา,TAT Phra Nakhon Si Ayutthaya Office
187,630500,ททท. สำนักงานลพบุรี,TAT Lop Buri Office
188,630600,ททท. สำนักงานสุพรรณบุรี,TAT Suphan Buri Office
189,630700,ททท. สำนักงานกรุงเทพมหานคร,TAT Bangkok Office
190,630800,ททท. สำนักงานประจวบคีรีขันธ์,TAT Prachuap Khiri Khan Office
191,630900,ททท. สำนักงานสมุทรสงคราม,TAT Samut Songkhram Office
192,631000,ททท. สำนักงานราชบุรี,TAT Ratchaburi Office
193,640000,ภูมิภาคภาคตะวันออกเฉียงเหนือ,Northeastern Region
194,640100,กองตลาดภาคตะวันออกเฉียงเหนือ,Northeastern Market Division
195,640101,งานภาคตะวันออกเฉียงเหนือ 1,Northeastern Region 1 Section
196,640102,งานภาคตะวันออกเฉียงเหนือ 2,Northeastern Region 2 Section
197,640103,งานภาคตะวันออกเฉียงเหนือ 3,Northeastern Region 3 Section
198,640200,ททท. สำนักงานนครราชสีมา,TAT Nakhon Ratchasima Office
199,640300,ททท. สำนักงานอุบลราชธานี,TAT Ubon Ratchathani Office
200,640400,ททท. สำนักงานขอนแก่น,TAT Khon Kaen Office
201,640500,ททท. สำนักงานนครพนม,TAT Nakhon Phanom Office
202,640600,ททท. สำนักงานอุดรธานี,TAT Udon Thani Office
203,640700,ททท. สำนักงานเลย,TAT Loei Office
204,640800,ททท. สำนักงานสุรินทร์,TAT Surin Office
205,640900,ททท. สำนักงานบุรีรัมย์,TAT Buri Ram Office
206,650000,ภูมิภาคภาคใต้,Southern Region
207,650100,กองตลาดภาคใต้,Southern Market Division
208,650101,งานภาคใต้ 1,Southern Region 1 Section
209,650102,งานภาคใต้ 2,Southern Region 2 Section
210,650103,งานภาคใต้ 3,Southern Region 3 Section
211,650104,งานภาคใต้ 4,Southern Region 4 Section
212,650200,ททท. สำนักงานหาดใหญ่,TAT Hat Yai Office
213,650300,ททท. สำนักงานนครศรีธรรมราช,TAT Nakhon Si Thammarat Office
214,650400,ททท. สำนักงานนราธิวาส,TAT Narathiwat Office
